feature,importance
check_tier-1_cooling_system_cool_output_apc-rc-10_cool_output_t-47,0.010937443
check_tier-1_cooling_system_enter_fluid_temp_apc-rc-10_fluid_temp_t-25,0.010909094
check_tier-1_cooling_system_cool_output_apc-rc-13_cool_output_t-32,0.010850344
hour_sin_t-47,0.010701234
check_tier-1_cooling_system_temp_apc-rc-27_unit_air_temp_t-33,0.010700915
check_tier-1_cooling_system_temp_apc-rc-16_unit_air_temp_t-53,0.010613932
enter_fluid_temp_t-54,0.010597634
check_tier-1_cooling_system_temp_apc-rc-27_return_air_temp_t-44,0.0105857225
check_tier-1_cooling_system_enter_fluid_temp_apc-rc-5_fluid_temp_t-42,0.010543667
check_tier-1_cooling_system_enter_fluid_temp_apc-rc-13_fluid_temp_t-30,0.010353364
check_tier-1_cooling_system_cool_output_apc-rc-16_cool_output_t-9,0.010351563
check_tier-1_cooling_system_enter_fluid_temp_apc-rc-19_fluid_temp_t-35,0.010310346
check_tier-1_cooling_system_cool_output_apc-rc-2_cool_output_t-14,0.010298155
check_tier-1_cooling_system_cool_output_apc-rc-16_cool_output_t-50,0.010282389
check_tier-1_cooling_system_enter_fluid_temp_apc-rc-13_fluid_temp_t-47,0.010279243
check_tier-1_cooling_system_cool_output_apc-rc-27_cool_output_t-28,0.010274619
check_tier-1_cooling_system_temp_apc-rc-13_return_air_temp_t-33,0.01025577
enter_fluid_temp_t-53,0.010252846
check_tier-1_cooling_system_cool_output_apc-rc-16_cool_output_t-23,0.010243833
check_tier-1_cooling_system_enter_fluid_temp_apc-rc-19_fluid_temp_t-44,0.010237633
check_tier-1_cooling_system_temp_apc-rc-27_unit_air_temp_t-56,0.010228241
check_tier-1_cooling_system_temp_apc-rc-2_return_air_temp_t-20,0.010182084
check_tier-1_cooling_system_temp_apc-rc-19_unit_air_temp_t-59,0.010174278
check_tier-1_cooling_system_enter_fluid_temp_apc-rc-27_fluid_temp_t-37,0.010107582
check_tier-1_cooling_system_temp_apc-rc-13_unit_air_temp_t-50,0.0100926375
check_tier-1_cooling_system_temp_apc-rc-19_return_air_temp_t-57,0.009987307
check_tier-1_cooling_system_temp_apc-rc-27_unit_air_temp_t-42,0.009950512
check_tier-1_cooling_system_temp_apc-rc-16_unit_air_temp_t-33,0.009947031
check_tier-1_cooling_system_enter_fluid_temp_apc-rc-27_fluid_temp_t-49,0.009943655
month_t-60,0.009817364
check_tier-1_cooling_system_cool_output_apc-rc-19_cool_output_t-22,0.0098024
check_tier-1_cooling_system_cool_output_apc-rc-10_cool_output_t-16,0.00978685
check_tier-1_cooling_system_cool_output_apc-rc-13_cool_output_t-42,0.009684222
check_tier-1_cooling_system_temp_apc-rc-10_unit_air_temp_t-43,0.009678558
check_tier-1_cooling_system_temp_apc-rc-13_return_air_temp_t-13,0.009644259
check_tier-1_cooling_system_cool_output_apc-rc-5_cool_output_t-50,0.009534009
check_tier-1_cooling_system_enter_fluid_temp_apc-rc-24_fluid_temp_t-60,0.009524291
check_tier-1_cooling_system_enter_fluid_temp_apc-rc-13_fluid_temp_t-28,0.00951144
